Fri Dec  9 21:10:11 2022    output.dat

         127371434 function calls (122847050 primitive calls) in 16267.607 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   853148    4.405    0.000 2527.078    0.003 {method 'all' of 'numpy.ndarray' objects}
   850454   12.641    0.000   49.644    0.000 C:\Users\frudo\OneDrive - Universität Würzburg\Dokumente\arbeit\Hiwi_DataScience\PycharmProjects\gnn_adaptive_mashing\src\remashing\mash_generation_npy.py:233(get_error_for_triangle)
   831700    2.509    0.000   24.874    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:54(_any)
   831697    3.827    0.000   28.701    0.000 {method 'any' of 'numpy.ndarray' objects}
   424180    0.692    0.000    0.692    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\multiarray.py:341(where)
   424180    2.236    0.000   25.554    0.000 <__array_function__ internals>:177(where)
   300570    1.125    0.000    1.125    0.000 {method 'reshape' of 'numpy.ndarray' objects}
   275319   14.941    0.000   14.941    0.000 C:\Users\frudo\OneDrive - Universität Würzburg\Dokumente\arbeit\Hiwi_DataScience\PycharmProjects\gnn_adaptive_mashing\src\remashing\mash_generation_npy.py:600(make_4_new_triangles)
   274286  169.059    0.001 14499.624    0.053 C:\Users\frudo\OneDrive - Universität Würzburg\Dokumente\arbeit\Hiwi_DataScience\PycharmProjects\gnn_adaptive_mashing\src\remashing\mash_generation_npy.py:507(add_nodes_global)
   272331    4.788    0.000 14416.741    0.053 C:\Users\frudo\OneDrive - Universität Würzburg\Dokumente\arbeit\Hiwi_DataScience\PycharmProjects\gnn_adaptive_mashing\src\remashing\mash_generation_npy.py:476(refine_one_bad_triangle)
    32217    2.435    0.000   26.913    0.001 C:\Users\frudo\OneDrive - Universität Würzburg\Dokumente\arbeit\Hiwi_DataScience\PycharmProjects\gnn_adaptive_mashing\src\remashing\mash_generation_npy.py:194(sort_special_triangle_into_affected)
    25194    0.032    0.000    0.032    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\numeric.py:2190(_allclose_dispatcher)
    25194    0.147    0.000    5.455    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\numeric.py:2194(allclose)
    25194    0.135    0.000    5.706    0.000 <__array_function__ internals>:177(allclose)
    24746    0.026    0.000    0.028    0.000 {built-in method builtins.isinstance}
    23633    0.036    0.000    0.038    0.000 {built-in method builtins.hasattr}
    23488    0.027    0.000    0.027    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\multiarray.py:148(concatenate)
    23488    0.095    0.000    0.498    0.000 <__array_function__ internals>:177(concatenate)
    23485    0.056    0.000    0.091    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\shape_base.py:207(_arrays_for_stack_dispatcher)
    23484    0.056    0.000    0.148    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\shape_base.py:218(_vhstack_dispatcher)
    23482    0.025    0.000    0.025    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\shape_base.py:77(_atleast_2d_dispatcher)
    23482    0.213    0.000    0.342    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\shape_base.py:81(atleast_2d)
    23482    0.135    0.000    1.142    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\shape_base.py:222(vstack)
    23482    0.084    0.000    0.507    0.000 <__array_function__ internals>:177(atleast_2d)
    23482    0.090    0.000    1.447    0.000 <__array_function__ internals>:177(vstack)
    23351    0.044    0.000    0.044    0.000 {method 'pop' of 'list' objects}
     2946    0.042    0.000    0.042    0.000 C:\Users\frudo\OneDrive - Universität Würzburg\Dokumente\arbeit\Hiwi_DataScience\PycharmProjects\gnn_adaptive_mashing\src\remashing\mash_generation_npy.py:408(<listcomp>)
     2946   15.790    0.005   15.974    0.005 C:\Users\frudo\OneDrive - Universität Würzburg\Dokumente\arbeit\Hiwi_DataScience\PycharmProjects\gnn_adaptive_mashing\src\remashing\mash_generation_npy.py:404(get_new_node)
     2670    0.003    0.000    0.003    0.000 {built-in method builtins.issubclass}
     1778    0.004    0.000    0.006    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\numerictypes.py:282(issubclass_)
     1485    0.002    0.000    0.002    0.000 {built-in method numpy.asarray}
     1076    8.506    0.008    8.506    0.008 {method 'tolist' of 'numpy.ndarray' objects}
     1033   11.439    0.011  110.476    0.107 C:\Users\frudo\OneDrive - Universität Würzburg\Dokumente\arbeit\Hiwi_DataScience\PycharmProjects\gnn_adaptive_mashing\src\remashing\mash_generation_npy.py:152(solve_special_triangle_case)
     1033    0.855    0.001   83.154    0.080 C:\Users\frudo\OneDrive - Universität Würzburg\Dokumente\arbeit\Hiwi_DataScience\PycharmProjects\gnn_adaptive_mashing\src\remashing\mash_generation_npy.py:170(add_nodes_global_st)
     1033   14.364    0.014   14.364    0.014 C:\Users\frudo\OneDrive - Universität Würzburg\Dokumente\arbeit\Hiwi_DataScience\PycharmProjects\gnn_adaptive_mashing\src\remashing\mash_generation_npy.py:202(<listcomp>)
      889    0.004    0.000    0.012    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\numerictypes.py:356(issubdtype)
      490    0.001    0.000    0.001    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:3159(_size_dispatcher)
      490    0.002    0.000    0.003    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:3163(size)
      490    0.002    0.000    0.006    0.000 <__array_function__ internals>:177(size)
      490    0.005    0.000    0.025    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\pyvista\plotting\colors.py:547(convert_color_channel)
      400    0.001    0.000    0.001    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\pyvista\plotting\colors.py:761(<genexpr>)
      355    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      278    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      273    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      266    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      210    0.001    0.000    0.001    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\pyvista\plotting\render_window_interactor.py:59(_plotter)
      171    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      168    0.001    0.000    0.001    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\pyvista\plotting\colors.py:527(strip_hex_prefix)
      168    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
      131    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      127    0.001    0.000    0.001    0.000 {built-in method numpy.empty}
      105    0.001    0.000    0.197    0.002 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\pyvista\utilities\helpers.py:1181(try_callback)
      101    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\multiarray.py:1071(copyto)
      101    0.001    0.000    0.017    0.000 <__array_function__ internals>:177(copyto)
      101    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       94    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       91    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
       91    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
       90    0.001    0.000    0.018    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\numeric.py:289(full)
     86/6    0.000    0.000    0.001    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\abc.py:121(__subclasscheck__)
     86/6    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
       80    0.001    0.000    0.031    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\pyvista\plotting\colors.py:463(__init__)
       80    0.000    0.000    0.002    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\pyvista\plotting\colors.py:737(hex_rgba)
       80    0.000    0.000    0.002    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\pyvista\plotting\colors.py:765(hex_rgb)
       75    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:3117(_ndim_dispatcher)
       75    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:3121(ndim)
       75    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(ndim)
       72    0.000    0.000    0.000    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\pyvista\plotting\renderers.py:243(__len__)
       71    0.000    0.000    0.016    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\pyvista\plotting\colors.py:591(<listcomp>)
       71    0.000    0.000    0.017    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\pyvista\plotting\colors.py:582(_from_rgba)
       71    0.000    0.000    0.000    0.000 {built-in method builtins.round}
